timestamp,00-17-0D-00-00-58-C5-F4,00-17-0D-00-00-58-C0-CD,00-17-0D-00-00-58-C2-FD,00-17-0D-00-00-30-54-3F,00-17-0D-00-00-58-C5-E2,00-17-0D-00-00-58-C0-B0,00-17-0D-00-00-58-C3-BE,00-17-0D-00-00-58-BB-16,00-17-0D-00-00-58-C2-EB,00-17-0D-00-00-58-C2-F6,00-17-0D-00-00-58-D0-27,00-17-0D-00-00-58-B7-D3,00-17-0D-00-00-58-C1-09,00-17-0D-00-00-58-C3-0A,00-17-0D-00-00-58-BA-95,00-17-0D-00-00-58-C3-D0,00-17-0D-00-00-60-34-5D,00-17-0D-00-00-58-0E-B8,00-17-0D-00-00-58-0F-70,direction_2d,azimuth_3D,elevation_3d,speed_2d,speed_3D
2017-07-17 20:57:40,93.49817657,93.88513184,88.30299377,92.33960724,95.80224609,92.84827423,93.46143341,99.45372772,101.31858826,93.1596756,77.58500671,96.11401367,91.90357208,89.45814514,,86.81227875,111.49849701,95.41784668,106.53244019,217.0,47.6,-0.95,3.8,3.235
2017-07-17 20:57:42,93.58240509,93.54956818,88.12940979,91.27539825,95.44677734,93.9654541,93.13880157,99.82029724,101.32615662,92.64209747,77.26383972,95.12963867,91.64722443,89.6108551,,86.94484711,111.49849701,94.81408691,106.50875854,182.5,42.1,2.55,7.05,3.165
2017-07-17 20:57:44,93.40003204,93.34143829,87.71291351,90.86988068,95.45275879,93.86291504,92.98047638,99.52172089,101.31590271,92.42298126,76.76469421,94.52026367,92.05176544,90.05397034,,86.04421234,111.49849701,94.28588867,106.25668335,207.5,35.55,-3.7,4.5,2.465
2017-07-17 20:57:46,92.36499786,93.28443146,86.96169281,90.41566467,96.03051758,92.86988068,92.71253204,98.57616425,100.85350037,92.88977814,76.40666199,93.95422363,92.55786896,89.93544006,,85.27565765,111.49849701,94.01062012,105.99057007,213.0,44.6,12.8,4.25,2.835
2017-07-17 20:57:48,91.50562286,93.1317215,86.55922699,89.84938049,97.71703339,92.20838165,92.87537384,97.87450409,100.01878357,93.69690704,76.07975769,93.8458252,92.26111603,89.28981018,,84.90969086,109.95711517,93.95117188,107.03500366,249.5,69.95,23.3,3.45,2.525
2017-07-17 20:57:50,91.42346954,93.01978302,86.32265472,89.6252594,96.69067383,91.95081329,92.81861115,97.41454315,99.70812225,93.31287384,75.93644714,93.76013947,91.73719025,88.89125061,,84.66323853,109.95711517,93.88391113,106.85873413,224.0,59.5,9.7,4.05,2.15
2017-07-17 20:57:52,91.08106232,93.14087677,86.15737152,89.45423889,95.94958496,91.67139435,92.60962677,97.2556076,99.18907928,92.74170685,75.82415009,93.48719025,91.5638504,88.84510803,,84.49856567,109.95711517,94.00830078,106.33004761,220.5,31.2,-16.15,1.9,1.535
2017-07-17 20:57:54,90.76502991,93.04004669,86.00234222,89.50038147,95.59484863,91.39209747,92.4084549,97.06761932,98.83934784,92.35938263,75.71721649,93.46326447,91.28882599,88.63441467,,84.33340454,109.95711517,93.93798828,105.53159332,196.0,38.05,-12.5,1.35,1.57
2017-07-17 20:57:56,90.68556213,92.96790314,85.89711761,89.35121155,95.32800293,91.22974396,92.29102325,96.91075897,98.46581268,92.2254715,75.67351532,93.71460724,91.28113556,88.47389221,,84.19302368,109.95711517,93.99328613,105.00815582,226.0,42.8,-9.8,1.75,1.275
2017-07-17 20:57:58,90.73121643,92.87403107,85.82424164,89.15296936,95.10888672,91.1185379,92.10999298,96.72924805,98.27440643,91.9799881,75.6896286,93.52942657,91.03540802,88.24647522,,84.08963013,109.95711517,94.43359375,104.52402496,208.5,24.25,-21.45,1.3,1.27
2017-07-17 20:58:00,90.60572815,92.80628204,85.71376801,89.94813538,95.48754883,91.04944611,91.98950958,96.66113281,98.02562714,91.74768829,75.94792175,93.33582306,90.85254669,88.09388733,,84.0831604,109.95711517,94.62365723,104.4852066,199.0,20.25,-20.7,0.75,0.985
2017-07-17 20:58:02,90.79236603,92.79846954,85.66701508,95.99401855,95.24353027,91.12793732,91.93628693,96.72229004,98.10814667,92.21851349,76.31852722,93.24524689,90.77833557,88.03443909,,84.07766724,109.95711517,94.46740723,104.58347321,206.0,7.8,-26.1,0.9,0.955
2017-07-17 20:58:04,90.66737366,92.86170197,86.20131683,109.47225189,95.60546875,91.15674591,91.96216583,96.9899826,98.5903244,93.50098419,76.18595886,93.1251297,90.833992,88.02613831,,84.27676392,109.95711517,94.3861084,104.45798492,139.5,342.0,-21.25,0.7,0.705
2017-07-17 20:58:06,91.42627716,93.49475861,86.45363617,136.49916077,97.07982635,91.3204422,92.03284454,97.29393768,100.1716156,94.13562012,75.94975281,93.06458282,91.52722931,88.22206116,,84.59915161,109.95711517,94.40856934,104.89206696,195.5,210.0,-47.15,1.25,0.47
2017-07-17 20:58:08,94.22106934,94.02404785,86.35012054,152.01376343,96.92467499,91.60108185,92.07837677,97.49938202,108.53988647,93.42884064,75.84453583,93.25696564,92.27637482,88.43556213,,84.63735962,119.66778564,94.34057617,105.02548981,239.5,97.0,44.6,0.3,0.39
2017-07-17 20:58:10,98.42638397,94.32299805,86.28273773,131.62942505,96.4473877,91.670784,92.58313751,97.52159882,120.16680908,92.943367,79.55387115,94.12670898,92.04993439,88.51930237,,84.54605103,119.66778564,94.49707031,104.64292145,275.0,66.25,50.1,0.8,0.34
2017-07-17 20:58:12,101.36509705,94.12536621,86.21144867,117.15045929,96.22338867,91.77796173,93.39990997,98.2363205,115.88898468,93.59925079,82.07192993,94.50219727,91.91553497,88.62464905,,84.63626099,119.66778564,94.72570801,105.01120758,245.0,180.5,14.1,1.2,0.455
2017-07-17 20:58:14,103.22641754,94.12109375,86.43569183,108.10128784,95.94580078,91.93897247,93.79919434,98.64781952,110.84993744,94.06201172,81.92434692,94.45739746,92.42066193,88.67933655,,84.95839691,119.66778564,95.96411133,105.93331909,203.0,180.45,31.35,0.45,0.69
2017-07-17 20:58:16,104.03354645,94.36376953,86.58388519,103.13755035,95.91040039,91.99085236,94.20715332,100.08860779,108.1335144,93.71900177,83.48049927,94.48486328,93.67383575,88.78993225,,85.79701996,119.66778564,96.34020996,106.76705933,135.5,27.45,28.75,0.75,0.91
2017-07-17 20:58:18,102.80820465,94.68859863,86.92848969,101.18028259,96.85424042,92.00037384,94.21850586,99.86546326,106.912323,94.42370605,84.38735962,94.9387207,93.28553009,89.00794983,,86.62099457,119.66778564,96.21374512,106.40487671,243.5,70.05,18.15,1.85,1.42
2017-07-17 20:58:20,101.57603455,94.87634277,87.72304535,100.85850525,96.8144455,92.57190704,95.41125488,99.52831268,107.03256226,94.53723145,82.8500061,95.23974609,93.44165802,90.40333557,,87.39931488,119.66778564,96.97594452,106.43075562,237.0,75.4,4.9,3.3,2.165
2017-07-17 20:58:22,100.44639587,94.7232666,89.44947815,98.98278046,97.0368576,93.89697266,95.5369873,99.54991913,106.84469604,94.25195313,81.79483795,96.86266327,93.33264923,90.75575256,,87.05825043,119.66778564,97.93993378,106.68319702,230.5,69.15,-0.2,3.1,3.165
2017-07-17 20:58:24,99.39281464,94.75305176,88.89405823,97.58214569,97.26805878,94.19433594,96.30908203,99.75071716,105.87301636,94.5447998,81.74088287,97.37474823,93.6855545,90.39161682,,86.73574066,119.66778564,97.0019455,107.44711304,242.0,76.2,-2.3,2.6,2.91
2017-07-17 20:58:26,97.87877655,95.04382324,88.42494202,97.7408371,98.00536346,93.89416504,97.76305389,99.96092224,105.09250641,95.24377441,81.46891022,96.41479492,94.94506836,90.90943146,,87.05995941,119.66778564,96.78343964,110.7036972,242.5,81.2,3.45,2.95,2.98
2017-07-17 20:58:28,96.72143555,96.46020508,88.53077698,96.8625412,99.40892792,94.45166016,98.02672577,99.93711853,104.49253082,95.40014648,80.25125885,96.17248535,96.76683807,91.47071075,,87.49806976,122.68645477,97.03978729,114.32893372,248.0,97.45,7.6,3.8,3.055
2017-07-17 20:58:30,96.20349121,96.71484375,88.91273499,95.50109863,100.50718689,94.71850586,97.84093475,100.52268982,103.59384918,95.45422363,79.74112701,96.32702637,96.78417206,91.10120392,,88.38343811,122.68645477,97.51012421,115.77106476,295.5,98.95,3.15,1.9,2.725
2017-07-17 20:58:32,95.45495605,96.75255585,89.54676819,95.18493652,100.91404724,94.34692383,97.37718964,100.26731873,103.21933746,95.82653809,79.88980865,96.63989258,96.11450195,91.30701447,,88.70143127,122.68645477,97.48839569,115.80243683,276.0,83.95,5.55,3.4,3.255
2017-07-17 20:58:34,95.32824707,96.96617889,90.31886292,95.35498047,100.64012146,94.89343262,97.61119843,100.25450134,102.7685318,96.62158203,80.18424225,96.77526093,95.95227051,92.38526154,,87.78347015,122.68645477,98.12218475,135.27565002,161.0,83.05,-3.0,2.2,3.105
2017-07-17 20:58:36,95.33898926,97.14110565,90.71827698,94.40161133,100.56394958,95.86877441,97.85424042,100.65525818,102.7751236,96.6439209,80.1001358,97.44322968,95.81738281,91.80713654,,87.47402191,122.68645477,97.52355194,144.5390625,255.0,82.0,-3.05,2.35,2.79
2017-07-17 20:58:38,94.5814209,97.37914276,89.56593323,94.02453613,100.05027771,95.20495605,98.2486496,100.5478363,103.03366852,97.1483078,80.01480865,96.58740234,95.60974121,91.42029572,,87.49745941,122.68645477,97.30541229,138.65065002,261.0,99.8,3.75,3.05,2.83
2017-07-17 20:58:40,94.35314941,97.86266327,89.21168518,93.73279572,98.95775604,94.94763184,98.57250214,100.53941345,102.24168396,96.34936523,79.81143951,96.67089844,95.89147949,90.94678497,,87.59682465,122.68645477,97.18102264,144.01135254,276.5,96.85,0.3,3.2,3.055
2017-07-17 20:58:42,94.30566406,99.40233612,89.72694397,94.18457031,99.72032928,94.3729248,98.17589569,100.77134705,102.11143494,95.8046875,79.94046783,96.58374023,96.10070801,90.37464905,,86.96035004,122.68645477,97.01988983,138.96022034,267.5,95.3,-0.2,3.75,2.94
2017-07-17 20:58:44,94.07507324,99.9158783,89.41053772,93.88623047,99.96800232,93.7923584,97.08812714,100.39927673,102.37437439,97.20482635,79.94412994,96.66418457,95.85791016,90.18507385,,86.63307953,122.68645477,97.20311737,134.75856018,272.0,86.4,-7.0,2.1,2.55
2017-07-17 20:58:46,93.37879181,99.45580292,88.95497131,93.36438751,99.9417572,93.48535919,96.13110352,99.78733826,102.28257751,96.92723846,79.12906647,97.74401093,94.9744873,90.12965393,,86.55373383,122.68645477,97.0800705,132.05056763,279.5,102.7,-8.8,1.35,2.15
2017-07-17 20:58:48,92.95252228,98.21544647,90.20826721,92.8537674,99.27562714,93.60071564,95.64355469,99.41100311,101.39085388,96.61804199,78.63395691,97.53539276,94.42626953,90.92786407,,87.83045959,111.45357513,97.16197968,132.12905884,246.0,86.25,10.3,3.4,1.81
2017-07-17 20:58:50,93.21839142,97.77501678,89.87721252,92.48438263,98.8736496,94.39831543,95.75537109,99.83348083,100.70701599,96.1159668,78.50614929,97.02587128,95.41357422,91.77893829,,88.24989319,111.45357513,97.43053436,129.8409729,270.0,103.15,4.9,1.63333333333,1.695
2017-07-17 20:58:52,93.58570099,97.36754608,89.60047913,92.77161407,98.9830246,95.52038574,96.56359863,100.59275818,101.18199158,95.68493652,78.93619537,97.00292206,95.53735352,92.89063263,,89.24659729,111.45357513,97.55773163,134.56654358,290.0,105.55,-8.8,3.7,2.52
2017-07-17 20:58:54,94.13415527,97.14769745,89.73963928,93.19556427,99.50621796,96.42102051,97.65685272,101.33030701,101.49131775,95.74914551,78.99173737,97.15001678,96.09350586,92.87622833,,88.84706116,111.45357513,97.64928436,144.03894043,288.0,115.5,-10.75,2.75,2.685
2017-07-17 20:58:56,94.5982666,97.32970428,90.08021545,93.1720047,99.77159119,96.38842773,97.822258,102.10350037,101.83103943,95.94873047,79.2530899,97.08422089,96.34838867,93.6699295,,89.59950256,111.45357513,97.96947479,142.74450684,317.0,96.1,-8.55,3.45,2.635
